Listing Directory...
55.csv	607
0.csv	76028
1.csv	7863
2.csv	12292
3.csv	26924
4.csv	2277
5.csv	7997
6.csv	630
7.csv	6267
8.csv	11603
9.csv	7619
10.csv	89832
11.csv	15704
12.csv	42638
13.csv	27938
14.csv	17017
15.csv	13455
16.csv	33549
17.csv	53871
18.csv	145191
19.csv	20244
20.csv	27912
21.csv	132800
22.csv	36128
23.csv	1759
24.csv	7335
25.csv	35149
26.csv	89738
27.csv	7226
28.csv	13579
29.csv	339101
30.csv	211244
31.csv	1410
32.csv	256
Input file name...
18.csv
CG5,31,1219,2403,15.167115,102.618550,13206.93,0.000000,0.000000,0.00,12330.87,23.53,5.55,182.74,12446.50,4.63,14.71,179.30,14.31,13.46
CG5,32,2782,2403,15.166980,102.618450,13217.08,0.000000,0.000000,0.00,12343.70,23.48,5.46,182.36,12351.86,14.62,14.28,182.11,14.25,13.46
CG5,33,1967,2403,15.166839,102.618370,13225.82,0.000000,0.000000,0.00,12348.29,23.44,5.35,182.22,12464.81,4.57,14.66,178.76,14.25,13.40
CG5,34,1251,2403,15.166721,102.618260,13235.29,0.000000,0.000000,0.00,12359.53,23.30,5.52,181.88,12370.05,14.55,14.08,181.57,14.19,13.42
CG5,35,2000,2403,15.166560,102.618140,13247.90,0.000000,0.000000,0.00,12372.98,23.38,5.42,181.48,12382.58,14.45,14.13,181.20,14.19,13.44
CG5,36,2000,2403,15.166352,102.618060,13260.59,0.000000,0.000000,0.00,12384.33,23.34,5.33,181.14,12391.54,14.41,14.22,180.93,14.13,13.46
CG5,37,2000,2403,15.166152,102.618000,13274.18,0.000000,0.000000,0.00,12396.32,23.34,5.21,180.79,12405.01,14.41,14.15,180.53,14.06,13.48
CG5,38,2000,2403,15.166010,102.617920,13286.66,0.000000,0.000000,0.00,12408.25,23.30,5.36,180.43,12416.01,14.34,14.33,180.20,14.06,13.42
CG5,39,2001,2403,15.165874,102.617820,13299.01,0.000000,0.000000,0.00,12422.93,23.26,5.40,180.00,12428.78,14.29,14.18,179.82,14.00,13.40
CG5,40,2001,2403,15.165722,102.617700,13313.26,0.000000,0.000000,0.00,12433.55,23.24,5.32,179.68,12442.43,14.25,14.19,179.42,13.94,13.50
CG5,41,2001,2403,15.165562,102.617550,13328.87,0.000000,0.000000,0.00,12447.79,23.19,5.28,179.26,12455.97,14.21,14.23,179.02,13.94,13.46
CG5,42,2000,2403,15.165318,102.617390,13345.54,0.000000,0.000000,0.00,12459.94,23.18,5.25,178.90,12469.84,14.18,14.16,178.61,13.88,13.50
CG5,43,2000,2403,15.165064,102.617290,13358.22,0.000000,0.000000,0.00,12472.40,23.16,5.15,178.54,12481.37,14.14,14.15,178.27,13.81,13.40
CG5,44,2000,2403,15.164825,102.617240,13370.84,0.000000,0.000000,0.00,12483.77,23.13,5.20,178.20,12491.48,14.09,14.21,177.97,13.75,13.48
CG5,45,1999,2403,15.164601,102.617190,13383.06,0.000000,0.000000,0.00,12494.96,23.11,5.32,177.87,12504.24,14.04,14.28,177.60,13.75,13.42
CG5,46,1999,2403,15.164392,102.617150,13393.42,0.000000,0.000000,0.00,12504.24,23.08,5.26,177.60,12513.28,14.00,14.32,177.33,13.69,13.50
CG5,47,2000,2403,15.164213,102.617110,13404.44,0.000000,0.000000,0.00,12516.87,23.06,5.42,177.23,12524.39,13.96,14.28,177.01,13.69,13.46
CG5,48,2000,2403,15.164029,102.617040,13415.81,0.000000,0.000000,0.00,12527.85,23.02,5.41,176.91,12535.03,13.92,14.25,176.70,13.63,13.48
